x1,y1,x2,y2
-8.935482886529739,-4.031861249138329,-6.435482886529739,5.588236790077358
-7.766128047820061,3.0759818881165746,-3.693547402658771,7.120099535175397
-4.620966757497481,6.568628946940104,0.4596784037928412,6.262256397920497
-0.5483861123361908,6.813726986155791,2.233871952179939,4.178923064587162
1.790323565083165,5.220589731253829,2.677420339276713,-0.049018111883427196
2.677420339276713,0.6862760057636326,0.41935582314768105,-2.92892007266774
-9.016128047820061,-2.6838220334520546,-7.241934499432965,-4.88970438639323
-8.008063531691029,-5.196076935412838,1.5080655005670351,-2.0098024256089175
3.403226790889615,-6.973037719726564,2.072581629599293,-5.686273013844211
2.233871952179939,-6.544116151099113,2.7177429199218732,-3.0514690922755836
2.354839694115423,-4.031861249138329,5.298388081212195,-2.0098024256089175
4.411291307018647,-2.0710769354128384,6.991936468308971,-4.583331837373622
6.951613887663811,-4.09313575894225,6.185484855405743,-7.095586739334408
6.588710661857359,-6.605390660903035,3.080646145728327,-8.566174974628524
3.8064525973412273,-8.872547523648134,2.7983880812121953,-6.2377436020795045
